alert_id,language,system,pfi,ifi,ofs,segments_count,export_timestamp
EVACUATION-CA-20260208-10,hi,nllb200,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-11,es,google_nmt,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-11,es,gpt4o,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-11,es,nllb200,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-11,hi,google_nmt,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-11,hi,gpt4o,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-11,hi,nllb200,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-00,es,google_nmt,0.0,1.5,0.75,6,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-00,es,gpt4o,0.0,1.5,0.75,6,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-00,es,nllb200,0.0,1.5,0.75,6,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-00,hi,google_nmt,0.0,1.5,0.75,6,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-00,hi,gpt4o,0.0,1.5,0.75,6,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-00,hi,nllb200,0.0,1.5,0.75,6,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-01,es,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-01,es,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-01,es,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-01,hi,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-01,hi,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-01,hi,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-02,es,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-02,es,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-02,es,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-02,hi,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-02,hi,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-02,hi,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-03,es,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-03,es,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-03,es,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-03,hi,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-03,hi,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-03,hi,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-04,es,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-04,es,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-04,es,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-04,hi,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-04,hi,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-04,hi,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-05,es,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-05,es,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-05,es,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-05,hi,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-05,hi,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-05,hi,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-06,es,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-06,es,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-06,es,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-06,hi,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-06,hi,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-06,hi,nllb200,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-07,es,google_nmt,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-07,es,gpt4o,0.0,1.5,0.75,4,2026-02-08T23:07:22.517362
